Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
IND,2007-01-01,2009-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,60,E,
IND,2008-01-01,2010-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20082010,2010,%,60,E,
IND,2009-01-01,2011-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20092011,2011,%,60,E,
IND,2010-01-01,2012-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20102012,2012,%,59,E,
IND,2011-01-01,2013-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20112013,2013,%,59,E,
IND,2012-01-01,2014-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20122014,2014,%,58,E,
IND,2013-01-01,2015-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20132015,2015,%,57,E,
IND,2014-01-01,2016-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,57,E,
IND,2015-01-01,2017-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,56,E,
IND,2016-01-01,2018-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,55,E,
IND,2017-01-01,2019-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,54,E,
IND,2018-01-01,2020-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,54,E,
